product_code,name,vendor_code,color,purchase_price,cup_type,price,photo,sizes,stock
С383,Комплект у рубчик із вшитим поролоном на чашку A-B. Код: С383,#BSB0-720DN,пудра,138,,400,,"M, M",2
С384,Три кольори. Комплект у чашці С. Код: С384,#2343,"чорний, чорно-бежевий, бежевий",224,,600,,"80С чорний, 85С чорний, 75С чорно-бежевий, 80С чорно-бежевий, 85С чорно-бежевий, 90С чорно-бежевий, 75С бежевий, 80С бежевий, 80С бежевий, 85С бежевий",10
С386,Чорно-бежевий комплект без кісточок у чашці В. Код: С386,#494,чорно-бежевий,168.66,,450,,75В,1
С392,Ажурний білий комплект чашка Д. Код: С392,#8107,білий,225.99,,580,,100D (брак),1
С393,"Сексуальний комплект кольору фукція, M. Код: С393",#CNY111-0FL,фуксія,304.5,,880,,M,1
С397,"червонийивий червоний набір, 75B, 75С. Код: С397",#001,червоний,328,,720,,75C,1
С398,"Ошатний комплект в 2х кольорах, 75D, 85D. Код: С398",#5302,червоний,304,,650,,"75C, 75D, 85D",3
С399,"Набір чашка В, два кольори. Код: С399",#6833,"чорно-бежевий, молочний",205,,530,,"80B чорно-бежевий, 80B молочний",2
С400,"Набір чашки С, чорного кольору. Код: С400",#6828,чорний,186.19,,580,,"75C, 80C, 80C, 80C, 85C",5
С402,"Червоний еротичний комплект, S, M, L. Код: С402",,червоний,480,,980,,M,1
С406,Чорний комплект чашка без поролону. Код: С406,#2372,чорний,212,,630,,"75B, 80B",2
С410,"Стильний комплект у рубчик, р.48 на чашку С. Код: С410",#806,різні,142.8,,400,,оливковий,1
С417,"Еротичний комплект із прозорої сітки, S, M. Код: С417",#Z3341,чорний,264.6,,700,,"S, M, M",3
С421,"Чарівний комплект на чашку D, два кольори. Код: С421",#2359,"синій, білий",223.45,,600,,"80D синій, 85D синій, 90D синій, 90D синій, 100D синій, 95D білий, 100D білий",7
С422,Комплект у рубчик з незнімним поролоном. Код: С422,#8859,різні,114.66,,400,,"білий, пудра",2
С423,Топ-комплект у мікрорубчик зі знімним поролоном. Код: С423,#3335,білий,138.6,,400,,білий,1
С425,"Комплект без поролону на чашку С, у 2-х кольорах. Код: С425",#388,бордо,293,,720,,"80С бордо, 90С бордо",2
С426,"Пушап комплект на чашку, в 2-х кольорах. Код: С426",#7388,"білий, чорний",207.84,,540,,"80B білий, 85B білий, 85B чорний",3
С428,"Комплект без поролону на чашку D, в 3-х кольорах. Код: С428",#106,"червоний, білий, чорний",203.51,,620,,"85D червоний, 90D червоний, 80D білий, 85D білий, 90D білий, 80D чорний, 85D чорний, 90D чорний",8
