ID Товара,Артикул / Модель,Остаток,Цена,Путь к фото,Название UA,Название RU,
2398,Т397,77,50.0,data/3 - panties/Т351-400/Т397.jpg,Коттоновые трусики слипы. Код: Т397,Коттоновые трусики слипы. Код: Т397,
2612,С60,777,480.0,data/1 - sets/С51-100/C60_6.jpg,Изумрудный комплект в чашке 80В. Код: С60,Изумрудный комплект в чашке 80В. Код: С60,
580,К6,777,85.0,data/tights_socks/К6_conte_kids.png,"Детские колготки Конте-Кидз: Class, Bravo, Tip-Top. Разные размеры и расцветки","Детские колготки Конте-Кидз: Class, Bravo, Tip-Top. Разные размеры и расцветки",
414,К34,777,90.0,data/tights_socks/К34_gatta-funny.jpg,"Колготки Gatta Funny (20 den), р.4, бежевые","Колготки Gatta Funny (20 den), р.4, бежевые",
110,Б7,777,280.0,data/2 - bras_bralets/Б1-50/Б7.png,"Красный бюст Angela, в чашке 80B. Код: Б7","Красный бюст Angela, в чашке 80B. Код: Б7",
3313,С8,777,550.0,data/1 - sets/С1-50/8_14.jpg,Белый комплект без косточки чашка 75В. Код: С8,Белый комплект без косточки чашка 75В. Код: С8,
585,А24,777,130.0,data/6 - erotic/1-50/A24_1.png,Красный кружевной комплект белья. Код: А24,Красный кружевной комплект белья. Код: А24,
2532,Л5,1,2200.0,data/9 - lingerie/Л5_0.jpg,Нижнее белье ручной работы Харьков. Код модели: Л5,Нижнее белье ручной работы Харьков. Код модели: Л5,
115,Н11,777,20.0,data/tights_socks/Н11.jpg,Белые женские носки 37-42 размера,Белые женские носки 37-42 размера,
116,Н7,777,20.0,data/tights_socks/Н7.png,Спортивные белые носки Adidas,Спортивные белые носки Adidas,
117,Н4,777,15.0,data/tights_socks/Н4.png,"Носки мужские &quot;Житомир Классик&quot;, цвет бежевый","Носки мужские &quot;Житомир Классик&quot;, цвет бежевый",
118,Н9,777,15.0,data/tights_socks/Н9.jpg,Носки детские &quot;СТИЛЬ&quot; (2-4),Носки детские &quot;СТИЛЬ&quot; (2-4),
119,К17,777,35.0,data/tights_socks/K17.png,"&quot;Elizabeth&quot; (40 den) BIKINI CHARM, чёрные, р.2, 3, 4","&quot;Elizabeth&quot; (40 den) BIKINI CHARM, чёрные, р.2, 3, 4",
120,К15,777,35.0,data/tights_socks/K16.png,"&quot;Elizabeth&quot; (40 den) с эффектом утяжки, чёрные","&quot;Elizabeth&quot; (40 den) с эффектом утяжки, чёрные",
122,К16,777,35.0,data/tights_socks/K15.png,"&quot;Elizabeth&quot; (40 den) с эффектом утяжки, бежевые","&quot;Elizabeth&quot; (40 den) с эффектом утяжки, бежевые",
123,К13,777,33.0,data/tights_socks/K13.png,"&quot;Elizabeth&quot; (20 den) с эффектом утяжки, бежевые","&quot;Elizabeth&quot; (20 den) с эффектом утяжки, бежевые",
