product_code	name	vendor_code	color	purchase_price	cup_type	price	photo	sizes	stock
Б58	Бюстгальтер	#31805	чорний	30	На тонком	180	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/58.jpg	70С чорний, 80С чорний	6
Б59	Бретельки з камінням	#2026	чорний	8.9		25	Нет фото	чорні	1
Б67	Бюстгальтер з push-up, чашка B, рожевий	#29346	рожевий	50	Пуш-ап	90	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/67_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/67_2.jpg	75В рожевий, 90В рожевий	4
Б68	Бежевий гладкий бюстик із 3D чашками. Код: Б68	#377	бежевий	125.1	м'яка	300	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/68_5.jpg	80В/С бежевий	4
Б70	Погруддя щільний поролон чашка В, два кольори. Код: Б70	#8203	червоний	120	На плотном	280	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/70_0.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/70_1.jpg	85В червоний	1
Б76	Бюстгальтер в чашку D колір пудри. Код: Б76	#2116	пудра	181	м'яка	450	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/76_10.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/76_11.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/bras/Б76_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/bras/Б76_2.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/bras/Б76_3.jpg	100D пудра	4
Б77	Бюстгальтер Diorella у чашці C, чорний	#32348	чорний	69	На плотном	190	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б77.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б77_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б77_2.jpg	75С чорний	1
Б78	Бюстгальтер Diorella у чашці C, білий	#1070	білий	71	м'яка	190	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б78.jpg	75С білий	1
Б79	Бюстгальтер Diorella у чашці C, бордовий	#1070	бордо	71	м'яка	190	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б79.jpg	75С бордо, 80С бордо	6
Б80	Бюстгальтер Diorella у чашці D, червоний	#1070	червоний	86	м'яка	300	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б80_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б80_2.jpg	90D червоний	1
